fish,stage,day,distance,yds,trial
fish9,Rotation,6,10.53905409612573,-0.6382471468591285,2
fish9,Rotation,6,4.051912459556981,2.0819597925146534,3
fish9,Rotation,6,6.392883748574661,-0.9322496448308708,4
fish9,Rotation,6,7.964936048992164,-2.781414590831172,5
fish9,Rotation,6,9.028987966325502,-7.63856649623338,6
fish9,Rotation,7,4.514927459595243,3.353906976944603,1
fish9,Rotation,7,11.670276430752416,-6.036049059706803,2
fish9,Rotation,7,6.229427466961142,5.046034960937184,3
fish9,Rotation,7,14.259956682407228,-12.075688487411934,4
fish9,Rotation,7,10.031726074922164,3.59218473608319,5
fish9,Rotation,7,11.830237457573968,-8.318712801988065,6
fish9,Rotation,8,9.64627939312568,-3.206332240315096,1
fish9,Rotation,8,8.878696823915018,-7.852845110313411,2
fish9,Rotation,8,11.260922227779687,-10.495046856612449,3
fish9,Rotation,8,9.68619643175615,-3.897100998197228,4
fish9,Rotation,8,11.85498429635888,-11.15305312825732,5
fish9,Rotation,8,3.313777152810361,0.9745955546848653,6
fish9,Rotation,9,3.457110297717181,-1.0642446368381615,1
fish9,Rotation,9,4.715662711987659,-3.1304930552308257,2
fish9,Rotation,9,10.923055083513246,-7.897904314002794,3
fish9,Rotation,9,6.905809787428902,5.989998486848536,4
fish9,Rotation,9,11.005344864865693,5.2212453148956754,5
fish9,Rotation,9,4.123128362885173,1.4805207009803414,6
fish9,Rotation,10,2.974262658467445,0.7271116371933566,1
fish9,Rotation,10,2.540878114379426,-0.0073184053490042,2
fish9,Rotation,10,4.856699714250832,-2.71117757517852,3
fish9,Rotation,10,2.6464849693139447,0.1158154244910933,4
fish9,Rotation,10,5.948178773429684,-4.857179430559015,5
fish9,Rotation,10,4.699293984847441,-2.87170158331382,6
fish9,Rotation,11,7.016123837890095,-5.659694871506144,1
fish9,Rotation,11,8.908654888671391,-7.787621074356608,2
fish9,Rotation,11,9.428837497627722,-5.853607181242992,3
fish9,Rotation,11,8.364609727111517,-7.775027521054048,4
fish9,Rotation,11,7.397907505193742,1.5234527535415696,5
fish9,Rotation,11,2.617135701654512,0.4751573388704486,6
fish9,Rotation,12,3.7868716681346304,-2.548013082040108,1
fish9,Rotation,12,5.261014166794879,-4.238136223615328,2
fish9,Rotation,12,6.523255759416167,-1.72882319675844,3
fish9,Rotation,12,2.587982552880899,0.2224782804539055,4
fish9,Rotation,12,2.8010497202028857,-1.193636872459254,5
fish9,Rotation,12,5.5895031213063895,-4.409749081045848,6
fish9,Rotation,13,5.8777102415371765,-4.3793114341589146,1
fish9,Rotation,13,2.6154368752701886,-0.259057460695719,2
fish9,Rotation,13,5.889518054870118,-4.498095823617277,3
fish9,Rotation,13,2.665203321050164,0.3161951702410845,4
fish9,Rotation,13,3.669249118804531,2.2341164632629344,5
fish9,Rotation,13,6.992775583472573,-6.166503505028288,6
fish9,Rotation,14,4.735694887124074,2.30289067397696,1
fish9,Rotation,14,3.1954234131684163,-1.4344263486869064,2
fish9,Rotation,14,2.550339697737278,0.2512526732022213,3
fish9,Rotation,14,4.840454289475822,3.348020980750846,4
fish9,Rotation,14,12.7916231982488,-6.167101804788916,5
fish9,Rotation,14,9.555577964279948,6.877307255688932,6
fish9,Rotation,15,5.780273367310873,-3.998818819585662,1
fish9,Rotation,15,7.336934746418318,-6.058170747406921,2
fish9,Rotation,15,6.543996703182032,-5.371753770899169,3
fish9,Rotation,15,2.948146732692467,-1.497129461770786,4
fish9,Rotation,15,2.636359081492844,-0.6693133942042382,5
fish9,Rotation,15,2.871716256421317,-0.3101115584328787,6
fish9,Rotation,16,15.43616789100136,-8.889714997278778,1
fish9,Rotation,16,3.0590173229738213,-0.8365274280667842,2
fish9,Rotation,16,2.822542065470729,0.2044192497342427,3
fish9,Rotation,16,3.6224299051603626,0.7373305666688096,4
fish9,Rotation,16,3.211044346513066,0.4573715575618238,5
fish9,Washout,1,4.856482868770657,-3.997848904940666,1
fish9,Washout,1,7.557482009454729,2.3057850854571544,2
fish9,Washout,1,2.3336086819416453,-0.1990387548306637,3
fish9,Washout,1,3.701191123483415,-2.1148977269600464,4
fish9,Washout,1,4.349512122590278,-2.809656123850355,5
fish9,Washout,1,2.8058528292710974,-1.139495799603643,6
fish9,Washout,2,2.72793360389708,-0.841275677143525,1
fish9,Washout,2,6.394101116529168,-4.567629627840258,2
fish9,Washout,2,13.041259649897547,-1.569791335593957,3
fish9,Washout,2,7.9376244231402815,-6.173671525946983,4
fish9,Washout,2,3.3959695302543698,1.174205476476114,5
fish9,Washout,2,2.3507891003902084,-0.2021424991894914,6
fish9,Washout,3,4.008225465448054,-2.153032331127384,1
fish9,Washout,3,2.2255062439400204,-0.1988947561710059,2
fish9,Washout,3,2.3115197202147417,0.0378440124966447,3
fish9,Washout,3,5.706580861955203,3.600469517969607,4
