fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Rotation,5.0,5.07788262522311,4.604502772828122,4.078333333333333,4.106,3.3166666666666664,3.333,4.885666666666666,4.906,5.2316666666666665,5.1225000000000005,3.5549999999999997,3.5175,7.152166666666666,6.941000000000001,5.2171666666666665,5.1105,-0.6273333333333334,-0.6575,10.978499999999999,10.8625,31
3.0,Rotation,6.0,7.4205570391397435,7.383734324332188,4.002,4.023,3.2453333333333334,3.284,4.806,4.845,5.697333333333333,5.631,3.5589999999999997,3.5515,8.463833333333334,8.0975,5.7045,5.6370000000000005,-1.3001666666666667,-1.0895000000000001,12.3005,11.843,32
3.0,Rotation,7.0,4.7620385354495225,4.8177986240649116,3.9440000000000004,3.96,3.15,3.168,4.710999999999999,4.728,4.989333333333334,4.9215,3.4343333333333335,3.4295,6.7876666666666665,6.66,4.987166666666667,4.8955,-0.858,-0.899,10.659333333333334,10.623,33
3.0,Rotation,8.0,4.135394648041742,4.2791535678260395,3.8993333333333333,3.912,3.0856666666666666,3.114,4.653666666666666,4.677,4.791666666666667,4.789,3.3970000000000002,3.374,6.4318333333333335,6.4254999999999995,4.797833333333333,4.78,-0.559,-0.5145,10.607333333333333,10.5785,34
3.0,Rotation,9.0,5.1052926029325905,5.286975486041534,3.864333333333333,3.874,3.021333333333333,3.029,4.602666666666667,4.607,4.969166666666667,4.9190000000000005,3.394166666666667,3.396,6.889166666666667,6.6884999999999994,4.9591666666666665,4.912,-0.9418333333333334,-0.9885,10.994333333333332,10.706,35
3.0,Rotation,10.0,4.928220369962038,4.60437627326805,3.837,3.845,3.0236666666666667,3.006,4.619,4.594,4.8585,4.7775,3.344666666666667,3.3295,6.6495,6.449,4.853333333333333,4.772,-0.8621666666666666,-0.8435,10.698500000000001,10.599,36
3.0,Rotation,11.0,7.2144195011428005,6.793855194176508,3.814666666666667,3.821,3.0493333333333332,3.059,4.661,4.669,5.216666666666667,5.1465,3.3991666666666664,3.3975,7.6818333333333335,7.377,5.230666666666667,5.1255,-1.2538333333333334,-1.024,11.378833333333333,11.2175,37
3.0,Rotation,12.0,4.442779402851194,3.2610461278843568,3.797,3.802,3.0176666666666665,3.03,4.635,4.645,4.730666666666667,4.5435,3.2396666666666665,3.2184999999999997,6.510166666666667,6.0545,4.740666666666667,4.5489999999999995,-1.1056666666666668,-1.088,10.769833333333333,10.363,38
3.0,Rotation,13.0,5.66821265157659,5.537863100016931,3.783,3.787,2.9876666666666662,2.993,4.6113333333333335,4.615,4.930666666666666,4.859999999999999,3.296666666666667,3.3265000000000002,7.0889999999999995,6.746,4.925,4.8625,-1.7268333333333334,-1.936,11.174,10.7275,39
3.0,Rotation,14.0,5.033531472218302,4.691078562508219,3.7716666666666665,3.775,2.971,2.977,4.602333333333333,4.604,4.756833333333334,4.6695,3.2503333333333333,3.2515,6.5825,6.3545,4.7575,4.6675,-1.0075,-0.9305,10.483666666666666,10.0935,40
3.0,Rotation,15.0,7.012070487927868,6.584387892238348,3.7623333333333338,3.765,2.9646666666666666,2.959,4.607666666666667,4.599,5.059666666666667,5.011,3.2415,3.245,7.4976666666666665,7.13,5.067166666666666,5.011,-1.5411666666666666,-1.3085,11.6655,10.7795,41
3.0,Rotation,16.0,5.081623793326742,4.731461177132598,3.8236666666666665,3.757,2.8800000000000003,2.976,4.806,4.625,5.270166666666666,4.8325,3.2835,3.21,7.462666666666667,6.699999999999999,5.252666666666666,4.8475,-0.7599999999999999,-0.729,11.3805,10.834,42
3.0,Washout,1.0,7.9536653466956615,8.437972619676493,3.860666666666667,3.957,2.654666666666667,2.688,5.036333333333333,5.168,7.2298333333333344,7.407500000000001,3.580166666666667,3.6719999999999997,10.688833333333335,10.901,7.220166666666667,7.3845,0.22116666666666665,0.11100000000000002,14.291666666666666,14.2515,43
3.0,Washout,2.0,5.869482451663525,4.688197789735969,3.5973333333333333,3.668,2.5533333333333332,2.588,4.693666666666666,4.773,6.023166666666666,5.2275,3.1275,3.0195,9.026166666666667,7.8915,6.078833333333333,5.3134999999999994,-0.4911666666666667,-0.5555,12.718333333333334,11.7195,44
3.0,Washout,3.0,3.602104146394933,2.8666359214686485,3.4026666666666667,3.456,2.4363333333333332,2.484,4.465333333333334,4.535,4.914666666666666,4.7065,2.7066666666666666,2.654,7.521999999999999,7.1295,4.921166666666667,4.7285,-1.1643333333333332,-1.02,11.690833333333332,11.446,45
3.0,Washout,4.0,6.716466930448327,6.677330403041231,3.2546666666666666,3.296,2.315666666666667,2.341,4.294666666666667,4.326,5.8205,5.8469999999999995,2.9299999999999997,2.9699999999999998,8.953166666666666,8.9415,5.7989999999999995,5.8535,-1.0134999999999998,-0.9015,12.144166666666665,12.008,46
3.0,Washout,5.0,6.55054117717695,6.329657656398139,3.139333333333333,3.172,2.2053333333333334,2.265,4.169666666666667,4.232,5.752833333333334,5.54,2.7588333333333335,2.7795,8.813166666666666,8.518,5.7805,5.5495,-1.0528333333333333,-1.1085,12.3705,12.0625,47
3.0,Washout,6.0,7.053938951647702,5.248745910060368,3.048,3.074,2.064666666666666,2.086,4.019,4.045,5.758333333333333,4.8965,2.6958333333333333,2.617,9.081999999999999,7.551,5.740333333333333,4.932,-1.4808333333333332,-1.421,12.512833333333333,11.078,48
3.0,Washout,7.0,7.6677422359539635,5.936317578813924,2.975,2.996,1.9926666666666666,2.022,3.9436666666666667,3.967,6.1098333333333334,5.167999999999999,2.720166666666667,2.716,9.819333333333335,8.204,6.115166666666667,5.179,-1.3575,-1.444,13.275,11.283999999999999,49
3.0,Washout,8.0,5.694135400881127,5.725350047834766,2.9163333333333328,2.933,1.9233333333333331,1.934,3.890333333333333,3.897,5.0441666666666665,4.9615,2.533,2.576,7.969,7.705,5.039333333333333,4.986000000000001,-1.6323333333333334,-1.6735000000000002,11.404666666666666,11.0135,50
3.0,Washout,9.0,6.293329487109456,6.137589958938342,2.8689999999999998,2.883,1.881,1.902,3.8623333333333334,3.877,5.231166666666667,5.047499999999999,2.4923333333333333,2.5145,8.335666666666667,7.884,5.196000000000001,4.987500000000001,-1.6431666666666667,-1.4085,11.7455,11.242,51
3.0,Washout,10.0,3.1206800087456172,2.8190302733285932,3.079,2.841,2.031,1.839,4.104,3.833,4.3165000000000004,4.009,2.436166666666667,2.2725,6.622,6.191000000000001,4.318666666666666,4.0285,-1.6511666666666667,-1.762,10.592333333333334,10.2425,52
3.0,ReRotation,1.0,4.339058619728333,3.995924466278126,3.482666666666667,3.555,2.3833333333333333,2.415,4.5569999999999995,4.646,5.167333333333333,4.8445,2.8653333333333335,2.799,7.802166666666666,7.2829999999999995,5.1585,4.823499999999999,-1.2265,-1.125,11.545499999999999,11.131,53
3.0,ReRotation,2.0,6.7718976109426565,6.693850077720354,3.2823333333333333,3.338,2.2776666666666667,2.32,4.312,4.379,5.793666666666667,5.7379999999999995,2.891666666666667,2.9305000000000003,8.881333333333334,8.807,5.7855,5.6935,-0.9501666666666666,-0.965,12.404499999999999,12.154,54
3.0,ReRotation,3.0,4.810058257102829,4.151283837857086,3.127333333333333,3.171,2.1523333333333334,2.193,4.133333333333333,4.178,4.9191666666666665,4.4015,2.6265,2.505,7.5305,6.6675,4.928833333333333,4.447,-1.227,-1.2854999999999999,11.2555,10.684999999999999,55
3.0,ReRotation,4.0,6.161596455244077,5.595668418889668,3.005333333333333,3.04,2.0316666666666667,2.071,4.005,4.044,5.168833333333333,4.919499999999999,2.6163333333333334,2.5860000000000003,8.086833333333333,7.629,5.2075000000000005,4.984,-1.4385000000000001,-1.381,11.715333333333334,11.227,56
3.0,ReRotation,5.0,5.263277855167063,4.525959513545389,2.908333333333333,2.936,1.906666666666667,1.953,3.887,3.927,4.6885,4.3919999999999995,2.4250000000000003,2.3955,7.2441666666666675,6.6240000000000006,4.6895,4.381,-1.5188333333333333,-1.5314999999999999,11.002166666666666,10.4095,57
3.0,ReRotation,6.0,5.163479526807595,5.693031969006969,2.8303333333333334,2.853,1.7916666666666667,1.814,3.7913333333333328,3.807,4.602833333333334,4.689,2.2641666666666667,2.237,7.255,7.3035,4.599,4.6775,-1.7571666666666665,-1.767,11.002833333333333,10.962,58
3.0,ReRotation,7.0,4.974788545277962,4.387285762592973,2.767,2.785,1.7226666666666668,1.747,3.7443333333333335,3.76,4.415333333333334,4.1495,2.1911666666666663,2.1695,6.901,6.362,4.411666666666666,4.201499999999999,-1.8844999999999998,-1.899,10.773833333333334,10.074,59
3.0,ReRotation,8.0,7.157875063863224,6.292997647316774,3.030333333333333,2.731,1.9393333333333331,1.674,4.116,3.713,5.914166666666667,4.707,2.6518333333333333,2.2535,9.071333333333333,7.4544999999999995,5.901833333333333,4.708,-1.2533333333333332,-1.8805,12.654833333333334,11.221,60
7.0,Baseline,1.0,5.021295135884387,3.9990209197794186,3.4339999999999997,3.434,2.3685,2.3685,4.5565,4.5565,5.488499999999999,4.877000000000001,2.9613333333333336,2.8274999999999997,8.458499999999999,7.6080000000000005,5.531166666666667,4.9585,-1.035,-0.9555,12.122333333333335,11.663,1
7.0,Baseline,2.0,6.520516596633512,5.7501825861607845,3.105,3.105,2.2239999999999998,2.224,4.0055,4.0055,5.521833333333333,4.9079999999999995,2.724,2.6485,8.540833333333333,7.6165,5.514666666666667,4.885,-1.239,-1.0675,12.1545,11.135,2
7.0,Baseline,3.0,4.981964445757054,4.4032561878668695,2.8770000000000002,2.877,2.12,2.12,3.676,3.676,4.487166666666667,4.274,2.5275,2.5225,6.967333333333333,6.442,4.461166666666666,4.2455,-1.2605,-1.2585,10.779000000000002,10.3295,3
